Species,KS_Statistic,P_Value
Arabidopsis,0.5116479152878888,0.09735771739525684
Asplenium,0.34030280042986283,0.09628085447439827
Barley,0.21087716075204743,0.0006524605700387689
Brachypodium,0.3595613506765314,0.0036097219036290706
Brassica,0.6835783547075384,0.002625208308098394
Isoetes,0.3908286038592508,0.0005962774151559991
Lemna,0.6373417721518987,0.0001829761695795597
Lilium,0.17697751059283673,0.0768514207930896
Marislea,0.42885120386477704,3.415526655322245e-05
Selaginella,0.30052810348036474,0.004643949745497422
Sweetpea,0.1854972333465807,0.15823647445511713
Switchgrass,0.2586670651524209,0.3381785034452407
Tomato,0.41156331426628595,5.973551979819004e-07
Triticum,0.7482256889747108,1.334278292838572e-19
